################################################################## 
# Generated by FullSWOF_2D version 1.10.00, 2023-04-06
################################################################## 
# (i-0.5)*dx 	(j-0.5)*dy	 h[i][j] 	 u[i][j] 	  v[i][j]	 h[i][j]+z[i][j] 	 z[i][j] 	 norm_U[i][j] 	Fr[i][j] (Froude)	 qx[i][j]	 qy[i][j]	  q[i][j]
# 
# time : 0 seconds 
0.1	      6.5	      0.0	      0.0	      0.0	 -1.46435	 -1.46435	      0.0	      NaN	      0.0	      0.0	      0.0
0.1	      6.7	      0.0	      0.0	      0.0	 -1.55007	 -1.55007	      0.0	      NaN	      0.0	      0.0	      0.0
0.1	      6.9	      0.0	      0.0	      0.0	 -1.64069	 -1.64069	      0.0	      NaN	      0.0	      0.0	      0.0
0.1	      7.1	      0.0	      0.0	      0.0	 -1.73423	 -1.73423	      0.0	      NaN	      0.0	      0.0	      0.0
0.1	      7.3	      0.0	      0.0	      0.0	 -1.82854	 -1.82854	      0.0	      NaN	      0.0	      0.0	      0.0
0.1	      7.5	      0.0	      0.0	      0.0	 -1.92146	 -1.92146	      0.0	      NaN	      0.0	      0.0	      0.0
0.1	      7.7	      0.0	      0.0	      0.0	 -2.01086	 -2.01086	      0.0	      NaN	      0.0	      0.0	      0.0
0.1	      7.9	      0.0	      0.0	      0.0	 -2.09481	 -2.09481	      0.0	      NaN	      0.0	      0.0	      0.0
0.1	      8.1	      0.0	      0.0	      0.0	 -2.17164	 -2.17164	      0.0	      NaN	      0.0	      0.0	      0.0
0.1	      8.3	      0.0	      0.0	      0.0	 -2.24004	 -2.24004	      0.0	      NaN	      0.0	      0.0	      0.0
0.1	      8.5	      0.0	      0.0	      0.0	  -2.2991	  -2.2991	      0.0	      NaN	      0.0	      0.0	      0.0
0.1	      8.7	      0.0	      0.0	      0.0	 -2.34838	 -2.34838	      0.0	      NaN	      0.0	      0.0	      0.0
0.1	      8.9	      0.0	      0.0	      0.0	  -2.3879	  -2.3879	      0.0	      NaN	      0.0	      0.0	      0.0
0.1	      9.1	      0.0	      0.0	      0.0	 -2.41819	 -2.41819	      0.0	      NaN	      0.0	      0.0	      0.0
0.1	      9.3	      0.0	      0.0	      0.0	 -2.44022	 -2.44022	      0.0	      NaN	      0.0	      0.0	      0.0
0.1	      9.5	      0.0	      0.0	      0.0	 -2.45535	 -2.45535	      0.0	      NaN	      0.0	      0.0	      0.0
0.1	      9.7	      0.0	      0.0	      0.0	 -2.46531	 -2.46531	      0.0	      NaN	      0.0	      0.0	      0.0
0.1	      9.9	      0.0	      0.0	      0.0	 -2.47206	 -2.47206	      0.0	      NaN	      0.0	      0.0	      0.0
